candidate_rank	word	combined_equal_corpus_ppm	hkcancor_count	cantomap_count	attested_both_spoken_corpora	cross_corpus_balance	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	cifu_top2000	cifu_rank	known_invalid_atomic	rime_present	rime_readings_compact	rime_source_files	review_flags	expert_status	expert_note
124	買	1280.508626	315	0	false	0.000000	v	v:315	0.000000	maai5:315				true	123	false	true	maai5	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
125	韻𡃁洞	1264.894781	0	245	false	0.000000			0.000000		n	n:183|v:30|Ng:6|x:5|a:5|vn:3|q:3|nr:2	wan5leng1dung6:245	false		false	false			single_corpus_signal|rime_absent	unreviewed	
127	咁樣	1244.243438	0	241	false	0.000000			0.000000		n	n:101|d:28|r:25|l:21|x:13|c:13|Ng:10|q:10	gam2joeng2:241	true	72	false	true	gam3joeng6	jyut6ping3.words.dict.yaml	single_corpus_signal|degree_sequence	unreviewed	
128	落去	1230.333861	55	195	true	0.222081	v	v:55	0.000000	lok6heoi3:55	v	v:195	lok6heoi3:195	true	121	true	true	lok6heoi3	jyut6ping3.words.dict.yaml	known_invalid_atomic|directional_chain	unreviewed	
132	上去	1141.878941	18	207	true	0.068468	v	v:18	0.000000	soeng5heoi3:18	v	v:207	soeng5heoi3:207	true	144	true	true	soeng5heoi3	jyut6ping3.words.dict.yaml	known_invalid_atomic|domain_concentration_signal|directional_chain	unreviewed	
133	哩	1117.904356	275	0	false	0.000000	r	r:272|y:3	0.000000	ni1:273|le5:2				true	120	false	true	le5|lei1|lei5|li1	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
134	啫	1102.947168	251	16	true	0.080959	y	y:241|c:9|y1:1	0.000000	ze1:251	y	y:16	ze1:15|zep1:1	true	130	false	true	ze1|zek1|zoe1	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
139	紙	1064.762213	13	196	true	0.052224	n	n:13	0.000000	zi2:13	n	n:196	zi2:196	true	226	false	true	zi2	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
140	嘩	1064.491558	239	18	true	0.095651	e	e:238|y:1	0.000000	waa3:239	e	e:18	waa3:15|waa4:2|waak3:1	true	136	false	true	faa1|jip6|waa1|waa4	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
141	可能	1052.742348	245	11	true	0.057022	vu	vu:208|v:26|vn:7|n:4	0.000000	ho2nang4:245	vu	vu:11	ho2nang4:11	true	87	false	true	ho2nang4	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
142	遠怨大樹	1006.752989	0	195	false	0.000000			0.000000		n	n:89|v:63|ns:17|x:11|a:7|nz:3|Ng:3|u:1	jyun5jyun3daai6syu6:195	false		false	false			single_corpus_signal|rime_absent	unreviewed	
143	好多	995.951154	245	0	false	0.000000	m	m:245	0.000000	hou2do1:245				false		false	true	hou2do1	jyut6ping3.words.dict.yaml	single_corpus_signal|degree_sequence	unreviewed	
145	彭銅山	960.287467	0	186	false	0.000000			0.000000		n	n:138|x:25|v:13|a:2|Ng:1|jnt:1|c:1|nz:1	paang4tung4saan1:186	false		false	false			single_corpus_signal|rime_absent	unreviewed	
147	不過	952.092108	205	23	true	0.142492	c	c:205	0.000000	bat1gwo3:205	c	c:23	bat1gwo3:23	true	134	false	true	bat1gwo3	jyut6ping3.words.dict.yaml	aspect_result_sequence	unreviewed	
148	台蛇茅屋	939.636123	0	182	false	0.000000			0.000000		n	n:92|ns:35|q:20|vn:12|Ng:10|f:3|x:3|a:3	toi4se4maau4nguk1:182	false		false	false			single_corpus_signal|rime_absent	unreviewed	
149	過去	932.398130	16	168	true	0.074988	v	v:13|t:2|f:1	0.000000	gwo3heoi3:16	v	v:157|u:8|x:2|t:1	gwo3heoi3:168	true	185	false	true	gwo3heoi3	jyut6ping3.words.dict.yaml	domain_concentration_signal|directional_chain	unreviewed	
150	譬如	929.039797	226	2	true	0.011239	v	v:221|c:5	0.000000	pei3jyu4:226	v	v:2	pei3ju4:2	true	112	false	true	pei3jyu4	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
151	揾	922.779232	227	0	false	0.000000	v	v:227	0.000000	wan2:227				true	149	false	true	wan3	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
152	嚟	921.952158	2	177	true	0.008897	v	v:2	0.000000	lei4:2	v	v:154|n:8|q:4|a:3|d:2|jns:1|xnz:1|f:1	lai4:122|lei4:55	true	68	false	true	lai4|lei4	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
153	重	919.811855	225	1	true	0.005645	d	d:216|a:8|q:1	0.000000	zung6:217|cung5:5|cung4:3	d	d:1	zung6:1	true	493	false	true	cung4|cung5|zung6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
154	善貧大宅	913.821944	0	177	false	0.000000			0.000000		n	n:93|v:30|x:9|a:8|Ng:7|nr:7|f:5|ns:4	sin6pan4daai6zaak2:177	false		false	false			single_corpus_signal|rime_absent	unreviewed	
156	扮汗塔	882.844929	0	171	false	0.000000			0.000000		v	v:76|n:55|Ng:12|x:6|f:3|Nsg:3|nr:3|nz:3	baan6hon6taap3:171	false		false	false			single_corpus_signal|rime_absent	unreviewed	
