r7_order	word	common_core	common_rank	common_combined_ppm	common_attested_both	cifu_rank	cifu_spoken_adult	cifu_reconstructed_jyutping	prior_audit_status	priority_action
115	出去	true	468	209.395602	true	439	69	false	handled_structurally	protect_common_frequency_candidate
116	怨	true	1722	25.814179	false	440	69	false	missing	protect_common_frequency_candidate
117	唔記得	true	465	211.385551	false	441	69	false	handled_structurally	protect_common_frequency_candidate
118	起	true	400	261.916180	true	443	69	false	missing	protect_common_frequency_candidate
119	打橫	true	327	335.584330	false	446	68	false	manual_review	protect_common_frequency_candidate
120	行到	false				450	67	true	manual_review	low_priority_review
121	杏堂	false				451	67	true	manual_review	low_priority_review
122	揀	true	505	182.929804	false	453	67	false	missing	protect_common_frequency_candidate
123	項	false				454	67	false	missing	low_priority_review
124	我講	false				457	66	true	manual_review	low_priority_review
125	尚健	false				458	66	true	manual_review	low_priority_review
126	嶺	false				462	65	false	missing	low_priority_review
127	入去	true	436	227.731187	true	463	64	false	manual_review	protect_common_frequency_candidate
128	之	true	1029	58.335033	true	464	64	false	missing	protect_common_frequency_candidate
129	出現	true	954	65.041708	false	466	64	false	missing	protect_common_frequency_candidate
130	直情	true	997	61.628220	true	467	64	false	manual_review	protect_common_frequency_candidate
131	掂	true	431	233.460433	true	471	63	false	missing	protect_common_frequency_candidate
132	條路線	false				472	63	true	manual_review	low_priority_review
133	頂	true	367	296.597401	true	473	63	false	missing	protect_common_frequency_candidate
134	裏邊	true	408	256.101725	false	474	63	true	manual_review	protect_common_frequency_candidate
135	右行	false				479	62	true	manual_review	low_priority_review
136	讀書	true	566	146.343843	false	480	62	false	handled_structurally	protect_common_frequency_candidate
137	不	true	1326	39.879148	true	481	61	false	missing	protect_common_frequency_candidate
138	收	true	398	264.557748	true	485	61	false	missing	protect_common_frequency_candidate
139	愁	false				489	61	false	missing	low_priority_review
140	一條	false				490	60	true	manual_review	low_priority_review
141	忍	true	843	80.409915	true	492	60	false	missing	protect_common_frequency_candidate
142	重	true	153	919.811855	true	493	60	false	missing	protect_common_frequency_candidate
143	望	true	469	208.623683	true	496	60	false	missing	protect_common_frequency_candidate
144	提碑	false				497	60	true	manual_review	low_priority_review
145	共	true	530	170.373583	false	500	59	false	missing	protect_common_frequency_candidate
146	地	true	657	115.572337	true	501	59	false	missing	protect_common_frequency_candidate
147	憂	false				505	59	false	missing	low_priority_review
148	加	true	302	373.062510	true	507	58	false	missing	protect_common_frequency_candidate
149	受	true	615	128.745086	true	508	58	false	missing	protect_common_frequency_candidate
150	能夠	true	1025	59.106953	true	510	58	false	missing	protect_common_frequency_candidate
151	領	true	1272	41.302687	false	513	58	false	missing	protect_common_frequency_candidate
152	信心	true	527	170.734483	false	515	57	false	handled_structurally	protect_common_frequency_candidate
153	後尾	true	648	117.888096	false	516	57	true	manual_review	protect_common_frequency_candidate
154	當	true	471	207.200144	true	519	57	false	missing	protect_common_frequency_candidate
155	繞	true	208	645.354480	false	520	57	false	missing	protect_common_frequency_candidate
156	成病	false				522	56	true	manual_review	low_priority_review
157	我話	false				524	56	true	manual_review	low_priority_review
158	是	true	1451	34.716312	true	525	56	false	missing	protect_common_frequency_candidate
159	完成	true	409	254.848605	true	532	55	false	missing	protect_common_frequency_candidate
160	男仔	true	1009	60.976601	false	533	55	true	manual_review	protect_common_frequency_candidate
161	跟	true	439	227.079568	true	535	55	false	missing	protect_common_frequency_candidate
162	任何	true	689	107.767933	true	537	54	false	missing	protect_common_frequency_candidate
163	返來	true	339	325.208540	false	538	54	true	manual_review	protect_common_frequency_candidate
164	緊要	true	500	187.646530	true	542	54	false	handled_structurally	protect_common_frequency_candidate
165	憂店	false				543	54	true	manual_review	low_priority_review
166	樂	false				544	54	false	missing	low_priority_review
167	左上	false				546	53	false	handled_structurally	atomic_retirement_candidate
168	班	true	414	252.036618	false	550	53	false	missing	protect_common_frequency_candidate
169	細個	true	610	130.083416	false	553	53	true	manual_review	protect_common_frequency_candidate
170	點啊	false				557	53	true	manual_review	low_priority_review
171	一係	true	487	197.320582	true	558	52	false	manual_review	protect_common_frequency_candidate
172	我會	false				559	52	true	manual_review	low_priority_review
173	提	true	1136	51.302549	true	563	52	false	missing	protect_common_frequency_candidate
174	養	true	257	479.682596	false	564	52	false	missing	protect_common_frequency_candidate
175	打電話	true	959	65.041708	false	570	51	false	handled_structurally	protect_common_frequency_candidate
176	成個	false				571	51	true	manual_review	low_priority_review
177	說話	false				574	51	false	missing	low_priority_review
178	上行	false				576	50	false	handled_structurally	atomic_retirement_candidate
179	穿	true	107	1634.423504	true	581	50	false	missing	protect_common_frequency_candidate
180	哩樣	true	413	252.036618	false	582	50	true	manual_review	protect_common_frequency_candidate
181	從	true	752	96.996152	true	584	50	false	missing	protect_common_frequency_candidate
182	呵	true	475	205.656305	true	586	49	false	missing	protect_common_frequency_candidate
183	揸	true	744	97.562562	false	589	49	false	missing	protect_common_frequency_candidate
184	右上	true	1710	25.814179	false	592	48	false	handled_structurally	protect_common_frequency_candidate
