rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
1683	唔多	12	*m4do1	NO DEF	⿰口吾:⿱夕夕	missing				
1684	時效	12	si4haau6	timeliness	⿰日寺:⿰交攵	missing				
1685	校長	12	haau6zoeng2	(college, university) president/headmaster	⿰木交:⿳&CDP-884A;一&CDP-8CC6;	missing				
1686	核突	12	wat6dat6	NO DEF	⿰木亥:⿱穴犬[GTKV],⿱穴大[J]	missing				
1687	案件	12	on3gin2	law case/legal case/judicial case	⿱安木[GJK],⿱安朩[TV]:⿰亻牛	missing				
1688	破壞	12	po3waai6	destruction/damage/to wreck/to break/to destroy	⿰石皮:⿰土褱	missing				
1689	財務	12	coi4mou6	financial affairs	⿰貝才:⿰矛务[G],⿰矛&CDP-8C64;[TJKV]	missing				
1690	高過	12	*gou1gwo3	NO DEF	⿳亠口冋:⿺辶咼	missing				
1691	乾淨	12	gon1zeng6	clean/neat	⿰𠦝乞:⿰氵爭	covered_main	study-suite.js	gon1 zeng6	like:stative_predicate cleanliness_property	
1692	唱	12	coeng3	to sing/to gossip maliciously, to speak ill of	⿰口昌	covered_main	referents-and-boundaries.js	coeng3	doing:verb singing_verb transitive_affordance	
1693	商業	12	soeng1jip6	business/trade/commerce	⿱&CDP-8BAE;冏:⿱业𦍎	missing				
1694	問吓	12	*man6haa5	NO DEF	⿵門口:⿰口下	missing				
1695	國內	12	gwok3noi6	domestic/internal (to a country)/civil	⿴囗或:⿻冂入	missing				
1696	最右	12	*zeoi3jau6	NO DEF	⿱日取[GJK],⿱冃取[TV]:⿸𠂇口	missing				
1697	最底	12	*zeoi3dai2	NO DEF	⿱日取[GJK],⿱冃取[TV]:⿸广氐	missing				
1698	報告	12	bou3gou3	to inform/report/make known/speech/talk/lecture	⿰幸𠬝:⿱𠂒口	covered_main	things.js	bou3 gou3	what:object_np document_np	
1699	提到	12	tai4dou3	to mention/to raise (a subject)/to refer to	⿰扌是:⿰至刂	missing				
1700	插	12	caap3	to insert/stick in/pierce/to take part in/to interfere/to interpose/to scold	⿰扌臿	missing				
1701	琴晚	12	kam4maan5	yesterday night	⿱玨今:⿰日免	missing				
1702	痛	12	tung3	ache/pain/sorrow	⿸疒甬	covered_main	study-suite.js	tung3	like:stative_predicate pain_state	
1703	睇住	12	*tai2zyu6	NO DEF	⿰目弟:⿰亻主	missing				
1704	窗	12	coeng1	shutter/window	⿱穴囱[GJK],⿱穴囪[TV]	missing				
1705	結	12	git3	knot/sturdy/bond/to tie/to bind/to check out (of a hotel)/to bear fruit/to produce/firm/solid	⿰糹吉[GTV],⿰糸吉[JK]	missing				
1706	貼住	12	*tip1zyu6	NO DEF	⿰貝占:⿰亻主	missing				
1707	開燈	12	hoi1dang1	to turn on a light	⿵門开:⿰火登	missing				
1708	溜	12	lau6|lau1|liu1	to slip away/to escape in stealth/to skate	⿰氵留	missing				
1709	溫暖	12	wan1nyun5	warm	⿰氵𥁕:⿰日爰	missing				
1710	罪	12	zeoi6	guilt/crime/fault/blame/sin	⿱罒非	missing				
1711	補充	12	bou2cung1	to replenish/to supplement/to complement/additional/supplementary	⿰衤甫:⿱𠫓儿,⿱亠允	missing				
1712	詳細	12	coeng4sai3	detailed/in detail/minute	⿰言羊:⿰糹田[GTV],⿰糸田[JK]	missing				
1713	誇張	12	kwaa1zoeng1	to exaggerate/vaunted/overstated/exaggerated	⿰言夸:⿰弓長	missing				
1714	遇到	12	jyu6dou2	to meet/to run into/to come across	⿺辶禺:⿰至刂	missing				
1715	電芯	12	*din6sam1	NO DEF	⿱雨&CDP-8BE8;:⿱艹心	missing				
1716	嘉賓	12	gaa1ban1	esteemed guest/honored guest	⿱壴加:⿱&CDP-8D74;貝[GTKV],⿱⿳宀一少貝[J]	missing				
