rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
369	像	87	zoeng6	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem	⿰亻象	missing				
370	二	86	ji6	two/2	⿱一一	covered_main	places-and-times.js	ji6	how:quantity count_value numeral_two_formal	
371	北方	86	bak1fong1	north/the northern part a country/China north of the Yellow River	⿰&CDP-8BC5;匕:⿱亠&CDP-8B6C;	missing				
372	仔	85	zai2|zi2	a son/a suffix used to describe something small/a boy/a kid/a boyfriend/(of domestic animals or fowls) young	⿰亻子	missing				
373	半	85	bun3	half/semi-/incomplete/(after a number) and a half	⿱丷&CDP-8BF1;[GTJV],⿱八&CDP-8BF1;[K]	covered_main	study-suite.js	bun3	how:fraction_quantifier	
374	東	84	dung1	east/host (i.e. sitting on east side of guest)/landlord/surname Dong	東	handled_structurally				src/runtime-resources/normalization/simplified-to-traditional.js
375	金字塔	84	gam1zi6taap3	pyramid	⿱人&CDP-8DE3;:⿱宀子:⿰土荅	missing				
376	風車	84	fung1ce1	pinwheel/windmill	⿵几䖝:車	missing				
377	越	84	jyut6	generic word for peoples or states of south China or south Asia at different historical periods/abbr. for Vietnam 越南/to exceed/to climb over/to surpass/the more... the more	⿺走戉	missing				
378	工	83	gung1	work/worker/skill/profession/trade/craft/labor	工	covered_main	study-suite.js	gung1	what:work_noun object_np head_noun	
379	考	83	haau2	to check/to verify/to test/to examine/to take an exam	⿸耂丂	missing				
380	當然	83	dong1jin4	only natural/as it should be/certainly/of course/without doubt	⿱𫩠田:⿱&CDP-8BB5;灬	missing				
381	農	83	nung4	agriculture	⿱曲辰	missing				
382	碼頭	83	maa5tau4	dock/pier/wharf/CL: 個[go]/the idea of a "pier" symbolises the leaving of the triad life, one's retirement from the life of a triad or prostitute	⿰石馬:⿰豆頁	missing				
383	礦場	83	kwong3coeng4	a mine/pit	⿰石廣:⿰土昜	missing				
384	入	82	jap6	to enter/to charge (with a crime)/entering tone (classical Chinese)	入	covered_main	places-and-times.js	jap6	doing:movement_direction_in movement_direction	
385	女仔	82	neoi5zai2	girl	女:⿰亻子	missing				
386	引	82	jan5	to draw (a bow)/to pull/to stretch sth/to extend/to lengthen/to involve in/to attract/to lead/to guide/to divert (water)/unit of distance equal to 10 丈[zhang1], now one-thirtieth km or 33.33 meters	⿰弓丨	missing				
387	先至	82	*sin1zi3	NO DEF	⿱𠂒儿:⿱𠫔土	covered_main	study-suite.js	sin1 zi3	func:sequence_focus_marker	
388	究竟	82	gau3ging2	after all (when all is said and done)/actually/outcome/result	⿱穴九:⿱音儿	missing				
389	前	82	cin4	front/forward/ahead/ago/before/first/former/formerly/future/BC (e.g. 前293年)	⿱䒑刖	handled_structurally				src/parser/detectors/motion/path-goal-source.js
390	頭	82	tau4	head/hair style/the top/end/beginning or end/an area/a location/a stub/remnant/chief/boss/side/aspect/first/leading/classifier for pigs or livestock (Mandarin)	⿰豆頁	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
391	飲	81	jam2	drink	⿰飠欠	covered_main	verbs.js	jam2	doing:verb transitive_affordance chain_select_drinkable	
392	暖	81	nyun5	warm	⿰日爰	missing				
393	總之	81	zung2zi1	in a word/in short/in brief	⿰糹悤[GTV],⿰糸悤[JK]:⿱丶&CDP-8661;	missing				
394	完全	80	jyun4cyun4	complete/whole/totally/entirely	⿱宀元:⿱人王[GJ],⿱入王[TKV]	missing				
395	情況	80	cing4fong3	circumstances/state of affairs/situation	⿰忄青[GTJV],⿰忄靑[K]:⿰氵兄	missing				
396	甜	80	tim4	sweet	⿰舌甘	covered_main	statives.js	tim4	like:stative_predicate	
397	低	79	dai1	low/beneath/to lower (one's head)/to let droop/to hang down/to incline	⿰亻氐	covered_main	statives.js	dai1	like:stative_predicate directional_result_complement	
398	農莊	79	nung4zong1	farm/ranch	⿱曲辰:⿱艹壯	missing				
399	瀑布	79	buk6bou3	waterfall	⿰氵暴:⿸𠂇巾	missing				
400	五	78	ng5	five/5	⿱一𫝀	covered_main	places-and-times.js	ng5	how:quantity count_value numeral_five	
401	辛苦	78	san1fu2	hard/exhausting/with much toil	⿱立十:⿱艹古	covered_main	referents-and-boundaries.js	san1 fu2	like:stative_predicate emotion_state_stative	
402	股	78	gu2	share/portion/section/part/thigh/(classifier for smells, electric currents, spirals etc)/whiff	⿰月殳[GJK],⿰⺼殳[TV]	missing				
403	墳場	78	fan4coeng4	grave	⿰土賁:⿰土昜	missing				
404	出來	77	ceot1loi4	to come out/to emerge	⿱屮凵:⿻木从	missing				
405	部	77	bou6	ministry/department/section/part/division/troops/board/(classifier for works of literature, films, machines etc)	⿰咅阝	covered_main	verbs.js	bou6	measure_word:classifier_vehicle_machine	
406	你講	76	*nei5gong2	NO DEF	⿰亻尔:⿰言冓	missing				
407	信	76	seon3	letter/CL:封[feng1]/true/to believe/sign/evidence	⿰亻言	covered_main	verbs.js	seon3	doing:belief_verb	
408	樹林	76	syu6lam4	woods/grove/forest	⿰木尌:⿰木木	missing				
409	禮堂	76	lai5tong4	assembly hall/auditorium	⿰礻豊[GTV],⿰示豊[JK]:⿱𫩠土	missing				
410	所	75	so2	actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive	⿰戶斤[GTKV],⿰戸斤[J]	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
411	所謂	75	so2wai6	so-called	⿰戶斤[GTKV],⿰戸斤[J]:⿰言胃	missing				
412	首先	75	sau2sin1	first (of all)/in the first place	⿱䒑自:⿱𠂒儿	missing				
413	國旗	75	gwok3kei4	flag (of a country)	⿴囗或:⿰方&CDP-8CFC;	missing				
414	帶	75	daai3|daai2	to carry/to lead/to bring/to look after/to raise/area/zone/region|band/belt/girdle/ribbon/CL:條[tìuh]	⿳&CDP-8C4B;冖巾	covered_main	verbs.js	daai3	doing:verb take_bring_verb	
415	畫到	75	*waak6|waa2dou3	NO DEF	⿳&CDP-8BC6;田一:⿰至刂	missing				
416	燈塔	75	dang1taap3	lighthouse	⿰火登:⿰土荅	missing				
417	講呢	75	*gong2ne1|ni1|nei1	NO DEF	⿰言冓:⿰口尼	missing				
418	纜車	75	laam6ce1	cable car	⿰糹覽[GT],⿰糸覽[JK]:車	missing				
419	全部	74	cyun4bou6	whole/entire/complete	⿱人王[GJ],⿱入王[TKV]:⿰咅阝	missing				
420	重有	74	zung6jau5	furthermore	重:⿸𠂇月	missing				
421	貴	74	gwai3	expensive/noble/your (name)/precious	⿱𠀐貝	covered_main	statives.js	gwai3	like:stative_predicate	
422	四	73	sei3	four/4	⿴囗儿	covered_main	places-and-times.js	sei3	how:quantity count_value numeral_four	
423	服務	73	fuk6mou6	to serve/service	⿰月𠬝:⿰矛务[G],⿰矛&CDP-8C64;[TJKV]	missing				
424	書	73	syu1	book/letter/same as 書經|书经 Book of History	⿱&CDP-8BC6;日	covered_main	things.js	syu1	what:object_np	
425	覺	73	gaau3|gok3	a nap/a sleep/CL:場[chèuhng](Mandarin)/CL:個[go]|feel/find that/thinking/awake/aware	⿱𦥯見	covered_main	things.js	gaau3	what:object_in_vo	
426	本	72	bun2	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(classifier for books, periodicals, files etc)	本	covered_main	verbs.js	bun2	measure_word:classifier_book	
427	特別	72	dak6bit6	especially/special/particular/unusual	⿰牛寺:⿰𠮠刂	covered_main	statives.js	dak6 bit6	like:modifier_or_stative	
428	得到	72	dak1dou2	to get/to obtain/to receive	⿰彳㝵:⿰至刂	missing				
429	清楚	72	cing1co2	clear/clearly understood/distinct	⿰氵青:⿱林疋	covered_main	study-suite.js	cing1 co2	like:result_or_stative_predicate clarity_state	
430	理	72	lei5	texture/grain (of wood)/inner essence/intrinsic order/reason/logic/truth/science/natural science (esp. physics)/to manage/to pay attention to/to run (affairs)/to handle/to put in order/to tidy up	⿰王里	missing				
431	種	72	zung2|zung3	abbr. for 物種|物种, genus/race/seed/breed/species/strain/kind/type/has guts (i.e. courage)/nerve/classifier for types: kind, sort/classifier for languages/to plant/to grow/to cultivate	⿰禾重	missing				
432	堂	71	tong4	(main) hall/large room for a specific purpose/relationship between cousins etc on the paternal side of a family/of the same clan/classifier for sets (or suites) of furniture, classes etc	⿱𫩠土	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
433	后	70	hau6	empress/queen/surname Hou	⿸𠂋口	handled_structurally				src/runtime-resources/normalization/simplified-to-traditional.js
434	呃	70	ngaak1|aak1|ak1	to cheat/to trick	⿰口厄	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
435	就算	70	zau6syun3	granted that/even if	⿰京尤:⿱竹𥃲	missing				
436	虛線	70	heoi1sin3	dotted line	⿸虍&CDP-8D6B;:⿰糹泉[GT],⿰糸泉[JK]	missing				
437	太	69	taai3	highest/greatest/too (much)/very/extremely	⿵大丶	covered_main	degree-and-formulas.js	taai3	how:degree_marker	
438	少	69	siu2|siu3	few/little/lack/young	⿱小丿	covered_main	statives.js	siu2	like:stative_or_quantity	
439	出去	69	ceot1heoi3	to go out	⿱屮凵:⿱土厶	missing				
440	怨	69	jyun3	to blame/to complain	⿱夗心	missing				
441	唔記得	69	m4gei3dak1	to forget	⿰口吾:⿰言己:⿰彳㝵	missing				
442	效果	69	haau6gwo2	result/effect/quality	⿰交攵:⿻日木	missing				
443	起	69	hei2	to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/(before place or time) starting from/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group	⿺走巳[GJK],⿺走己[TV]	missing				
444	文字	68	man4zi6	character/script/writing/written language/writing style/phraseology	⿱亠乂:⿱宀子	missing				
445	以為	68	ji5wai4	to believe/to think/to consider erroneously/to assume (wrongly)	以:為	covered_main	verbs.js	ji5 wai4	doing:cognition_opinion_predicate belief_predicate mistaken_belief_predicate	
446	打橫	68	daa2waang4	NO DEF	⿰扌丁:⿰木黃	missing				
447	通常	68	tung1soeng4	regular/usual/ordinary/normal	⿺辶甬:⿱𫩠巾	covered_main	verbs.js	tung1 soeng4	when:habitual_frequency_adverb	
448	陳	68	can4	surname Chen/Chen of the Southern dynasties (557-589)/to lay out/to exhibit/to display/to narrate/to state/to explain/to tell/old/stale	⿰阝東	covered_main	people-and-address.js	can4	who:surname_element	
449	地盤	67	dei6pun4	a construction site/domain/territory under one's control/foundation of a building/base of operations/crust of earth	⿰土也:⿱般皿	missing				
450	行到	67	*hang4|haang4|hang6|hong4|hong2dou3	NO DEF	⿰彳亍:⿰至刂	missing				
451	杏堂	67	*hang6tong4	NO DEF	⿱木口:⿱𫩠土	missing				
452	相信	67	soeng1seon3	be convinced (that something is true)/believe/to accept sth as true	⿰木目:⿰亻言	covered_main	verbs.js	soeng1 seon3	doing:cognition_opinion_predicate belief_predicate	
453	揀	67	gaan2	to choose/to pick/to sort out/to pick up	⿰扌柬	missing				
454	項	67	hong6	back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles, items, clauses, tasks, research projects etc/surname Xiang	⿰工頁	missing				
455	禮拜	67	lai5baai3	week/religious service/worship	⿰礻豊[GTV],⿰示豊[JK]:⿰龵&CDP-8CE7;	covered_main	places-and-times.js	lai5 baai3	when:time_head temporal	
456	市場	66	si5coeng4	market place/market (also in abstract)/abbr. for 超級市場|超级市场 supermarket	⿱亠巾:⿰土昜	missing				
457	我講	66	*ngo5gong2	NO DEF	我:⿰言冓	missing				
458	尚健	66	*soeng6gin6	NO DEF	⿱⺌冋:⿰亻建	missing				
459	蚊	66	man1	mosquito/a dollar	⿰虫文	covered_main	things.js	man1	what:currency_unit	
460	印	65	jan3	stamp/seal/mark/print/abbr. for India/surname Yan	⿰&CDP-8CAC;卩	missing				
461	直	65	zik6	straight/not gay, heterosexual, "straight"/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters	⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]	missing				
462	嶺	65	leng5|ling5	mountain range	⿱山領	missing				
463	入去	64	jap6heoi3	NO DEF	入:⿱土厶	missing				
464	之	64	zi1	(possessive particle, literary equivalent of 的)/him/her/it	⿱丶&CDP-8661;	missing				
465	六	64	luk6	six/6	⿱亠八	covered_main	places-and-times.js	luk6	how:quantity count_value numeral_six	
466	出現	64	ceot1jin6	to appear/to arise/to emerge	⿱屮凵:⿰王見	missing				
467	直情	64	zik6cing4	NO DEF	⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]:⿰忄青[GTJV],⿰忄靑[K]	missing				
468	國	64	gwok3	country/nation/state/CL:個[go]/national/a surname	⿴囗或	missing				
469	圖	64	tou4	diagram/to plan/picture/drawing/chart	⿴囗啚	missing				
470	西	63	sai1	west/often used as a euphemism for the obscene term for "vagina", 閪 [hāi]/the West/Spain (abbr.)	⿱一𠁤	missing				
471	掂	63	dim1|dim6	to weigh in the hand/to estimate|satisfactory/okay	⿰扌店	handled_structurally				src/parser/detectors/aspect/potential-result.js
472	條路線	63	*tiu4lou6sin3	NO DEF	⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]:⿰𧾷各:⿰糹泉[GT],⿰糸泉[JK]	missing				
473	頂	63	ding2|deng2	apex/top/roof/to carry on the head/to push to the top/to go against/most/to replace/to substitute/to "bump" a forum thread to raise its profile (internet slang)/to bear, to endure, to put up with/an exclamation expressing disappointment, anger, amazement, etc. ("shit!", "damn!", etc.)|apex/top/roof/classifier for hats	⿰丁頁	missing				
474	裏邊	63	*leoi5bin1	NO DEF	⿳亠里𧘇:⿺辶臱	missing				
475	銅	63	tung4	copper Cu, transition metal, atomic number 29/see 紅銅|红铜 copper, and the alloys brass 黃銅|黄铜 and bronze 青銅|青铜	⿰金同	missing				
476	濫	63	laam6	excessive/indiscriminate	⿰氵監	missing				
477	小	62	siu2	small/tiny/few/young/a euphemism for 屌 díu, "fuck"	小	missing				
478	冇問題	62	mou5man6tai4	no problem	⿸𠂇冂:⿵門口:⿺是頁	covered_main	degree-and-formulas.js	mou5 man6 tai4	func:formula_discourse_unit	
479	右行	62	*jau6hang4|haang4|hang6|hong4|hong2	NO DEF	⿸𠂇口:⿰彳亍	missing				
480	讀書	62	duk6syu1	study/read	⿰言賣[GTV],⿰言𧶠[JK]:⿱&CDP-8BC6;日	missing				
481	不	61	bat1	not/no	⿱一&CDP-8665;	handled_structurally				src/parser/detectors/boundaries/needs-context.js
482	水塘	61	seoi2tong4	pool	⿲㇇亅&CDP-85BF;:⿰土唐	missing				
483	件	61	gin6	item/component/classifier for events, things, clothes etc	⿰亻牛	covered_main	referents-and-boundaries.js	gin6	measure_word:classifier_clothing_item	
484	地標	61	dei6biu1	landmark	⿰土也:⿰木票	missing				
485	收	61	sau1	to receive/to accept/to collect/in care of (used on address line after name)	⿰丩攵	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
486	更加	61	gang3gaa1	more (than sth else)/even more	⿱一&CDP-89E7;:⿰力口	missing				
487	男朋友	61	naam4pang4jau5	male friend/boyfriend	⿱田力:⿰月月:⿸𠂇又	missing				
488	唔該	61	m4goi1	please/thank you	⿰口吾:⿰言亥	covered_main	degree-and-formulas.js	m4 goi1	func:formula_discourse_unit	
489	愁	61	sau4	worry about	⿱秋心	missing				
490	一條	60	*jat1tiu4	NO DEF	一:⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]	missing				
491	八	60	baat3	eight/to gossip/nosy	八	covered_main	places-and-times.js	baat3	how:quantity count_value numeral_eight	
492	忍	60	jan2	to endure/to tolerate	⿱刃心	missing				
493	重	60	zung6|cung4|cung5	to attach importance to/important/weighty/furthermore/further/more/still/to lay stress on/discreet|repeat/again/double|heavy (in weight)/deep/heavy/serious/weight	重	missing				
494	將來	60	zoeng1loi4	the future/future	⿰爿&CDP-8BC3;:⿻木从	missing				
495	斜	60	ce4|ce3	slanting	⿰余斗	missing				
496	望	60	mong6	to look at/to view/to hope/to expect/to visit/to gaze (into the distance)/to look towards/towards/full moon	⿱⿰亡月王[GJK],⿱&CDP-8C47;𡈼[TV]	missing				
497	提碑	60	*tai4bei1	NO DEF	⿰扌是:⿰石卑	missing				
498	工作	59	gung1zok3	job/work/construction/task	工:⿰亻乍	covered_main	study-suite.js	gung1 zok3	what:work_noun activity_noun	
499	皮	59	pei4	leather/skin/fur/ten thousand dollars/level, standard/pico- (one trillionth)/a surname/CL:塊[faai]	皮	missing				
500	共	59	gung6	common/general/to share/together/total/altogether/abbr. for 共產黨|共产党[gong4 chan3 dang3], Communist party	⿱龷八	missing				
501	地	59	dei6	earth/ground/field/place/land/CL:片[pin](Mandarin)/CL:塊[faai]/CL:笪[daat]/-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct	⿰土也	missing				
502	明	59	ming4	bright/clear/to understand/next/public or open/wise/Ming Dynasty (1368-1644)/surname Ming	⿰日月	covered_main	people-and-address.js	ming4	who:name_element	
503	鬼	59	gwai2	ghost/CL:隻[jek]/a westerner/a traitor; an informer within an organisation, a "mole".	⿱甶⿺儿厶	missing				
504	最後	59	zeoi3hau6	final/last/finally/ultimate	⿱日取[GJK],⿱冃取[TV]:⿰彳⿱幺夂[GJKV],⿰彳&CDP-8B7B;[HT]	missing				
505	憂	59	jau1	to worry/to concern oneself with/worried/anxiety/sorrow/a parent's funeral/inconvenienced by being orphaned	⿱㥑夂[GJK],⿱㥑夊[TV]	missing				
506	一次	58	jat1ci3	first/first time/once/(math.) linear (of degree one)	一:⿰冫欠[GJ],⿰二欠[TKV]	covered_main	verbs.js	jat1 ci3	how:frequency_quantity	
507	加	58	gaa1	to add/plus/abbr. for Canada 加拿大	⿰力口	missing				
508	受	58	sau6	to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)	⿱&CDP-8BB8;又	missing				
509	肯定	58	hang2ding6	to be sure/to be certain/sure/certain/definite/to confirm/to affirm/affirmative	⿱止月[GJKV],⿱止⺼[HT]:⿱宀𤴓	covered_main	study-suite.js	hang2 ding6	like:stance_predicate certainty	
510	能夠	58	nang4gau3	be capable of/can/is able	⿰䏍𫧇:⿰多句	missing				
511	瑞	58	seoi6	lucky/auspicious/propitious/rayl (acoustical unit)	⿰王耑	missing				
512	電腦	58	din6nou5	computer	⿱雨&CDP-8BE8;:⿰月𡿺[GJK],⿰⺼𡿺[TV]	missing				
513	領	58	ling5|leng5	neck/collar/to lead/to receive	⿰令頁	missing				
514	長	57	coeng4|zoeng2	length/long/forever/always/constantly|chief/head/elder/to grow/to develop/to increase/to enhance	⿳&CDP-884A;一&CDP-8CC6;	covered_main	places-and-times.js	coeng4	like:stative_predicate scalar_dimension_predicate length_dimension_predicate	
515	信心	57	seon3sam1	confidence/faith (in sb or sth)	⿰亻言:心	missing				
516	後尾	57	*hau6mei5	NO DEF	⿰彳⿱幺夂[GJKV],⿰彳&CDP-8B7B;[HT]:⿸尸毛	missing				
517	重要	57	zung6jiu3	important/significant/major	重:⿱覀女	missing				
518	意	57	ji3	idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate/abbr. for Italy 意大利	⿱音心	missing				
519	當	57	dong1|dong3	when/during/just at (a time or place)/on the spot/ought/should/equal/same/manage|to regard as/suitable/adequate/fitting/proper/to pawn/obstruct	⿱𫩠田	missing				
520	繞	57	jiu5	to wind/to coil (thread)/to rotate around/to spiral/to move around/to go round (an obstacle)/to by-pass/to make a detour/to confuse/to perplex	⿰糹堯[GTV],⿰糸堯[JK]	missing				
521	水	56	seoi2	1. water/2. money/3. low quality, poor (e.g. of performace)	⿲㇇亅&CDP-85BF;	covered_main	things.js	seoi2	what:object_np liquid drink_object water_noun	
522	成病	56	*sing4beng6	NO DEF	⿵戊𠃌:⿸疒丙	missing				
523	坐	56	co5|zo6	to sit/to take a seat/to take (a bus, airplane etc)	⿻土从,⿱𠦏一	covered_main	verbs.js	co5	doing:verb	
524	我話	56	*ngo5waa6|waa2	NO DEF	我:⿰言舌	missing				
525	是	56	si6	is/are/am/yes/to be	⿱日𤴓	handled_structurally				src/parser/detectors/boundaries/needs-context.js
526	英文	56	jing1man4	English (language)	⿱艹央:⿱亠乂	missing				
527	真	56	zan1	really/truly/indeed/real/true/genuine	⿱十具	covered_main	verbs.js	zan1	like:stative_predicate truth_stative	
528	貧	56	pan4	poor/inadequate/deficient/garrulous	⿱分貝	missing				
529	擺	56	baai2	to arrange/to exhibit/to move to and fro/a pendulum	⿰扌罷	covered_main	verbs.js	baai2	doing:verb action_verb positioning_verb	
530	彎	56	waan1	bend/bent	⿱䜌弓	missing				
531	今年	55	gam1nin4	this year	⿱亽㇇[G],⿱亼㇇[TJKV]:年	missing				
532	完成	55	jyun4sing4	complete/accomplish/perfect tense (grammar)	⿱宀元:⿵戊𠃌	missing				
533	男仔	55	*naam4zai2|zi2	NO DEF	⿱田力:⿰亻子	missing				
534	排	55	paai4	a row/a line/to set in order/to arrange/to line up/to eliminate/to drain/to push open/platoon/raft/classifier for lines, rows etc	⿰扌非	covered_main	study-suite.js	paai4	when:time_period_head	
535	跟	55	gan1	to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to)/heel(Mandarin)	⿰𧾷艮	missing				
536	灣	55	waan1	bay/gulf	⿰氵彎	missing				
537	任何	54	jam6ho4	any/whatever/whichever/whatsoever	⿰亻壬:⿰亻可	missing				
538	返來	54	*faan1|faan2loi4	NO DEF	⿺辶反:⿻木从	missing				
539	室	54	sat1	room	⿱宀至	missing				
540	記得	54	gei3dak1	to remember	⿰言己:⿰彳㝵	covered_main	verbs.js	gei3 dak1	doing:cognition_reminder_predicate	
541	犀利	54	sai1lei6	terrific, great, amazing/sharp	⿸尸&CDP-8D6F;:⿰禾刂	covered_main	study-suite.js	sai1 lei6	like:stative_predicate degree_evaluation	
542	緊要	54	gan2jiu3	important	⿱臤糸:⿱覀女	missing				
543	憂店	54	*jau1dim3	NO DEF	⿱㥑夂[GJK],⿱㥑夊[TV]:⿸广占	missing				
544	樂	54	lok6|ngok6	happy/laugh/cheerful/surname Le/surname Yue/music	⿱&CDP-8BF4;木[GJK],⿱&CDP-8BF4;朩[TV]	missing				
545	樂園	54	lok6jyun4	paradise	⿱&CDP-8BF4;木[GJK],⿱&CDP-8BF4;朩[TV]:⿴囗袁	missing				
546	左上	53	zo2soeng6	upper left	⿸𠂇工:⿱⺊一	missing				
547	先生	53	sin1saang1	sir/mister/teacher/(title of respect)	⿱𠂒儿:生	covered_main	people-and-address.js	sin1 saang1	who:person_title	
548	形	53	jing4	to appear/to look/form/shape	⿰开彡	missing				
549	直接	53	zik6zip3	direct/opposite: indirect 間接|间接/immediate/directly/straightforward	⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]:⿰扌妾	missing				
550	班	53	baan1	team/class/squad/work shift/classifier for groups/ranking/to gather together/to gather support ("back-up")/to deploy one's gang member/a surname	⿲王&CDP-8BEA;王	missing				
551	國家	53	gwok3gaa1	country/nation/state	⿴囗或:⿱宀豕	missing				
552	第二個	53	*dai6ji6go3	NO DEF	⿱竹𢎨:⿱一一:⿰亻固	covered_main	verbs.js	dai6 ji6 go3	what:object_np headless_choice_np ordinal_or_alternative_np	
553	細個	53	*sai3go3	NO DEF	⿰糹田[GTV],⿰糸田[JK]:⿰亻固	missing				
554	幾時	53	gei2si4	what time?/when?	⿹&CDP-8BA4;人:⿰日寺	covered_main	referents-and-boundaries.js	gei2 si4	when:wh_time	
555	傾	53	king1	to chat/to overturn/to collapse/to lean/to tend/to incline/to pour out	⿰亻頃	covered_main	study-suite.js	king1	doing:verb conversation_verb	
556	經濟	53	ging1zai3	economy/economic	⿰糹巠[GTV],⿰糸巠[JK]:⿰氵齊	missing				
557	點啊	53	*dim2aa3|aa1|aa2	NO DEF	⿰黑占:⿰口阿	missing				
558	一係	52	jat1hai6	NO DEF	一:⿰亻系	missing				
559	我會	52	*ngo5wui5|wui6|wui2	NO DEF	我:⿱亼𭥴	missing				
560	使	52	sai2|si2|si3	to spend (money)/to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger	⿰亻吏	covered_main	verbs.js	sai2	func:modal_necessity	
561	突然	52	dat6jin4	sudden/abrupt/unexpected	⿱穴犬[GTKV],⿱穴大[J]:⿱&CDP-8BB5;灬	missing				
562	海	52	hoi2	ocean/sea/CL:個[go]/CL:片[pin](Mandarin)	⿰氵每[GTKV],⿰氵毎[J]	missing				
563	提	52	tai4	carry (suspended)/to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid	⿰扌是	missing				
564	養	52	joeng5	to raise (animals)/to bring up (children)/to keep (pets)/to support/to give birth	⿱𦍌食	missing				
565	錯	52	co3	wrong; mistaken; erroneous/fault; demerit; blunder/intricate; complex/CL:個[go]	⿰金昔	missing				
566	叢林	52	cung4lam4	jungle/thicket/forest/Buddhist monastery	⿱丵取:⿰木木	missing				
567	七	51	cat1	seven/euphemistic form of 柒 [chaht] "prick"	⿻㇀乚	covered_main	places-and-times.js	cat1	how:quantity count_value numeral_seven	
568	大陸	51	daai6luk6	mainland China (reference to the PRC)/continent/mainland/CL:個[go]	⿻一人:⿰阝坴	missing				
569	平	51	ping4	flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/level or even tone (i.e. first and second tones in classical Chinese)/surname Ping	⿻干丷[GTJV],⿻干八[K],⿱一&CDP-8A64;	surface_covered_sense_uncertain	statives.js	peng4	like:stative_predicate	
570	打電話	51	daa2din6waa2	to make a telephone call	⿰扌丁:⿱雨&CDP-8BE8;:⿰言舌	handled_structurally				src/parser/detectors/discourse/priority.js
571	成個	51	*sing4go3	NO DEF	⿵戊𠃌:⿰亻固	missing				
572	基本上	51	gei1bun2soeng6	basically/on the whole	⿱其土:本:⿱⺊一	missing				
573	碟	51	dip6	dish/plate	⿰石枼	covered_main	study-suite.js	dip6	measure_word:classifier_dish plate_classifier	
574	說話	51	syut3waa6	to speak/to say/to talk/to gossip/to tell stories/talk/word	⿰言兌:⿰言舌	missing				
575	雖然	51	seoi1jin4	although/even though/even if	⿰虽隹:⿱&CDP-8BB5;灬	covered_main	function-words-and-particles.js	seoi1 jin4	func:connector_concession	
576	上行	50	soeng6hang4	up train (i.e. towards the capital)	⿱⺊一:⿰彳亍	missing				
577	心	50	sam1	heart/mind/intention/centre/core/CL:個[go]	心	covered_main	study-suite.js	sam1	what:body_part_or_abstract_noun head_noun	
578	自由	50	zi6jau4	freedom/free/liberty	自:由	missing				
579	每	50	mui5	each/every	⿱𠂉母	covered_main	function-words-and-particles.js	mui5	func:distributive_quantifier determiner	
580	直線	50	zik6sin3	straight line	⿱十&CDP-8BA5;[GT],⿱十⿺𠃊目[JK]:⿰糹泉[GT],⿰糸泉[JK]	missing				
581	穿	50	cyun1	to bore through/to pierce/to perforate/to penetrate/to pass through/to dress/to wear/to put on/to thread/damaged with a hole or holes (e.g. pots, socks)	⿱穴牙	missing				
582	哩樣	50	*lei5|le1|lei1|li1joeng6	NO DEF	⿰口里:⿰木羕	missing				
583	差	50	caa1|caai1|cī	difference/discrepancy/to differ/error/to err/to make a mistake/to differ from/to fall short of/lacking/wrong/inferior|the police/to send/to commission/messenger/mission|uneven	⿸羊工[G],⿸&CDP-8CCC;工[TJKV]	covered_main	study-suite.js	caa1	doing:verb subtraction_or_shortfall_marker	
